package,file_path,line_number,type,severity,description
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/dml/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/dmlbind/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/dmlbind/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/persist/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/profile/DTimeMetricStats.java,24,BUG,LOW,"Cast one of the operands of this division operation to a ""float""."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/profile/DTimeMetricStats.java,96,BUG,LOW,"Cast one of the operands of this integer division to a ""double""."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/properties/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/properties/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/CQueryIteratorSimple.java,39,BUG,LOW,"Add a ""NoSuchElementException"" for iteration beyond the end of the collection."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultFetchGroupQuery.java,77,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultFetchGroupQuery.java,82,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultFetchGroupQuery.java,87,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultFetchGroupQuery.java,92,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultFetchGroupQuery.java,97,BUG,LOW,"Parameter 2 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultFetchGroupQuery.java,102,BUG,LOW,"Parameter 3 to this call is marked ""@Nonnull via meta-annotation"" but null could be passed."
