file_path,line_number,type,severity,description
/hibernate-core/src/main/java/org/hibernate/event/internal/DirtyCollectionSearchVisitor.java,76,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/action/internal/AbstractEntityInsertAction.java,183,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/id/insert/InsertGeneratedIdentifierDelegate.java,103,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/jpa/internal/MutableJpaComplianceImpl.java,62,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/dialect/function/SumReturnTypeResolver.java,82,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/query/sqm/mutation/internal/temptable/SoftDeleteExecutionDelegate.java,325,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/event/internal/EvictVisitor.java,75,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/persister/entity/JoinedSubclassEntityPersister.java,1204,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/sql/results/graph/entity/AbstractEntityInitializer.java,748,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/tooling/metamodel-generator/src/main/java/org/hibernate/processor/validation/ProcessorSessionFactory.java,624,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/tooling/hibernate-enhance-maven-plugin/src/main/java/org/hibernate/orm/tooling/maven/MavenEnhancePlugin.java,325,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/stat/internal/StatisticsImpl.java,1027,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/resource/transaction/backend/jta/internal/DdlTransactionIsolatorJtaImpl.java,105,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/metamodel/mapping/EntityMappingType.java,182,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/sql/ast/spi/AbstractSqlAstTranslator.java,8244,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,5176,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/internal/PropertyBinder.java,1142,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/naming/ObjectNameNormalizer.java,104,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/internal/MapBinder.java,240,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/metamodel/RuntimeMetamodels.java,52,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/internal/InFlightMetadataCollectorImpl.java,1399,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/stat/internal/StatisticsImpl.java,1013,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/cache/spi/TimestampsCache.java,71,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,233,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/query/results/dynamic/DynamicResultBuilderEntityStandard.java,242,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/naming/ImplicitNamingStrategyJpaCompliantImpl.java,143,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/query/sql/internal/SQLQueryParser.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/metamodel/mapping/internal/ToOneAttributeMapping.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
